hard_text,profession,gender
"He has been with the firm for seventeen years. Tapiwa is also the Partner in charge of the Deloitte Bulawayo office. Tapiwa is a business rescue practitioner, and helps businesses to return to profitability through management improvement and business re-engineering as may be deemed appropriate. He is the former Chairperson of the Matabeleland Society of Chartered Accountants Committee and also a member of the Council of the Institute of Chartered Accountants in Zimbabwe (ICAZ).",accountant,Male
"A conviction that organisations could do considerably, and sustainably, better if people were better managed led him to write his first book, “Lean Organisations Need FAT People” and to found his company, Zealise Limited and develop his 'Every Individual Matters' model as a catalyst to engender and embed shared vision and common purpose in organisations, making the workplace more humane and more effective. He recently published “The Democracy Delusion” to challenge wider socio-economic and political management issues, and proffer new solutions, building on these concepts.",accountant,Male
"L. John Walpole has been issued a Tennessee license number 3100. All CPAs, including L. John Walpole, have at the minimum an undergraduate degree in accounting, passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed. CPAs can work in private industry, education or government but most people think of CPAs during tax season as the experts in tax preparation. Their overall training in business and knowledge in principles of general law and taxation provide CPAs with the skills to help individuals with both personal and business financial decisions.",accountant,Female
"Most recently, he was Deputy Group CFO at interdealer broker ICAP. Stephen has also held posts as CFO at EBS, the spot FX electronic trading platform, and Deputy Head of Finance at the London Stock Exchange.",accountant,Male
"He was employed with the very well-known company Price Waterhouse. Since 2003 he has also been recognized as a patient advocate leader with the Bone and Joint Decade (a global alliance of musculoskeletal health). In his early 20’s Peter was affected by severe joint problems in his left hip. He tried countless therapies, but found very little help.",accountant,Male
"He has over 25 years of experience in tax preparation for individuals, small business and estates, and is a graduate of the University of Michigan-Dearborn Martin Lavelle, Secretary",accountant,Male
"David Madore, a private citizen, has asked her to take a look at Columbia River Crossing’s books. KPAM host Victoria Taft asks her what she’s uncovered. Couch reports having difficulty obtaining what she calls some of the basic accounting records ...",accountant,Female
"She loves being an accountant. The variety and problem solving aspects of the job keep each day fresh. She spends any spare time with her husband, children and grandchildren.",accountant,Female
"They have two grown sons and three beautiful granddaughters. In her free time, Laurie likes to spend time with her family, travel, write, work in her hosta garden and solve diagram-less crossword puzzles.",accountant,Female
"He has over five years of experience in public accounting, with an emphasis in higher education accounting regulations. Brent holds a Bachelor of Business Administration in Accounting from the University of Texas at San Antonio. In his free time, he enjoys reading, exploring Southern California, and being an audience member at television tapings.",accountant,Male
"His firm provides tax preparation and planning, contracted CFO services, representation before state authorities and the IRS, bookkeeping, retirement and estate tax planning, back office management services and computer systems consultations.",accountant,Male
Kevin is the principal of his own Accounting firm and supports corporate services as well as community services. Kevin brings great support to Real Advantage Institute and to the general community.,accountant,Male
"He has worked previously with Fifth Third Bank and Bank of America leading best-in-class sales, service, production and operations teams. Rick has a BA in Public Relations and Journalism from Lipscomb University and a Master of Business Administration degree from Middle Tennessee State University. In addition to his tax and advisory practice, Rick works with businesses who wish to streamline their financial reporting using cloud-based reporting systems to provide timely, accurate information. He also represents clients who are under review with the Internal Revenue Service and state tax authorities.",accountant,Male
"His 40 plus year career includes being an audit partner in Arthur Andersen, a member of Andersen’s Professional Standards Group (“national office”) in Chicago, the Director of Financial Reporting for a Fortune 50 company and most recently, the editorial director of CCH’s Accounting Research Manager. Currently, Ron does independent writing and analysis together with accounting consultation on a variety of topics.",accountant,Male
Mr. Bello is the president of the OFW Congress in Riyadh. He initiated the raising of a big amount of money from the OFWs for the Guinsaugon Landslide victims in Southern Leyte through the Secretary of Labor Marianito Roque to OWWA.,accountant,Male
"Mr. Chopra during his career span of over 30 years has held senior management roles in several industries - trading, projects, manufacturing and other diversified businesses.",accountant,Male
"After he received his Master of Science in Accountancy, he began his career working for a big four international accounting firm in their tax division. Later Mr. McLean opened his own professional private practice where he has worked for private companies, and has 30 years’ experience in public accounting specializing in international tax planning and accounting. James is also a member of the American Institute of Certified Public Accountants (AICPA), the Texas Society of CPA’s (TSCPA), the TSCAP Committee for Relations with IRS, AICPA Tax Section. He is certified as a Charter Global Management Accountant and Accredited in Business Valuation by the AICPA.",accountant,Male
"He has also appeared and cleared Certified Public Accountant course from USA. Over the years while working with various organisations both in India and abroad, he has gained rich experience in dealing with various facets of Finance and Accounts. Out of 20 years of experience he has spent 10 years in the aviation industry while working with Club One Air since 2005.",accountant,Male
Regis joined starafricacorporation in 2006 as Group Finance Manager and was subsequently promoted to the post of Group Finance Director. He was appointed to the Board of Directors in January 2011.,accountant,Male
"He has worked as a financial services professional to both public, and private sector projects in Sierra Leone, and Ghana. He is a Managing Partner at BDO (previously PKF Sierra Leone) an international financial services and business consulting firm with member offices across the globe. He leads engagement and reporting for BDO audit clients including; CARE, USAID, and multiple EU and World Bank funded projects.",accountant,Male
"He offers exhaustive knowledge of reporting practices and requirements for public companies based in Canada and the United States. Wilmot has been involved in numerous business valuations and acquisitions, high tech start-ups and international mining operations.",accountant,Male
"Besides her dream of a world of limitless energy, she has always been passionate about the non-profit sector. Julie started her career and worked in the non-profit sector for years before leaving to help the solar industry. She enjoys spending her free time in aid of the non-profit organizations that are close to her heart.",accountant,Female
"She now volunteers as a teaching assistant in first grade at Longfellow Elementary School. She currently serves as treasurer of MWA's Island Range Chapter. She enjoys hiking, wildflower photography, and snowshoeing.",accountant,Female
"In addition to a comprehensive range of services, some of the specialities offered by Jesowshek and his firm include tax planning and preparation, with a deep understanding of best practices as it relates to cryptocurrency.",accountant,Male
"That is, her real life. As the monotonous nature of crunching numbers and drawn-out board meetings slowly eats away at her, the only bright side to her otherwise mundane routine lies on the black and white pages of her debut romance novel. Her inspiration? A long-time infatuation—Tyler Andrews. Until the Olympic swimmer read her novel and connected the dots… Tyler Andrews is used to being the center of attention. […]",accountant,Female
"Carla has operated her own accounting practice, been employed as a tax accountant for both small and large accounting firms, and held a position with a “Big 4” accounting firm. Previously, Carla served as the Chief Financial Officer for a mid-sized manufacturer in Virginia, and held academic appointments such as Chair of the Department of Accounting and Finance. Carla specializes in teaching taxation, managerial accounting, and controllership, and has also taught courses in financial accounting, energy accounting, corporate finance, and entrepreneurship.",accountant,Female
"He has 9 years of direct non-profit experience in the design and construction industry. Mr. Fargo’s expertise includes management of staff, strategic planning, budget preparation, financial statement presentation, and audit and tax preparation work.",accountant,Male
"For twenty years he was the CFO and then CEO of a Virginia hospital and nursing home in a large healthcare company. He wrote short stories as a young man, and at the College of William and Mary, he really learned to write. He is a life-long lover of Corvettes, Las Vegas, and living on the edge. He is in love with his family, and he is passionate about United States and Mexican history, the Spanish language, and using social media.",accountant,Male
"She holds a Bachelor of Business Administration from York University and is currently working toward her Chartered Accountant designation. She has volunteered with various charities including The Toronto Enterprise Fund, Grameen Bank, BRAC and the United Nation. Shatabdi’s involvement with the United Way began in 2008 when she joined Scotiabank. Currently she is a Cabinet member for the Scotiabank GenNext team. This is her first year on the GenNext Cabinet and she is excited to work with the team.",accountant,Female
"He graduated from Polytechnic Ibadan and he is a member of ICAN where holds a certificate in Associate Accounting Technician, he is also member of Institute of Directors. Due to his large contact in Estate management, he is currently an active member of Global Estate Institute.",accountant,Male
"Mr. Thomas provides support for the accounting team by tracking and processing payments for consultants and program advisors, as well as general support for the accounting department. Prior to joining the Foundation, Mr. Thomas was a senior accounting associate with Prudential under the centralized business services team. He has a BS in accounting from Rutgers University Business School – Newark Campus.",accountant,Male
"He received his AA in Accounting in 1994 graduating with honors from New Hampshire Technical College in Laconia. He began writing history and engaging in Archaeology as an amateur in 1995. In 2002, he returned to school to study Archaeology and Anthropology. He graduated summa cum laude with a BA in Anthropology from the University of New Hampshire in 2007. He currently works as a field Archaeologist for Crane & Morrison Archaeology, Freeport, Maine, while pursuing graduate studies in the Historical Archaeology Program at the University of Massachusetts Boston.",accountant,Male
"Deidra D. Jones has been issued a Mississippi license. All CPAs, including Deidra D. Jones, have at the minimum an undergraduate degree in accounting, passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed. CPAs can work in private industry, education or government but most people think of CPAs during tax season as the experts in tax preparation. Their overall training in business and knowledge in principles of general law and taxation provide CPAs with the skills to help individuals with both personal and business financial decisions.",accountant,Female
"During the events leading up to his wedding, Lionel crosses paths with E.L. ""Tenspeed"" Turner, a smooth-talking fast-thinking con artist. When Tenspeed needs a job to make parole, Lionel fulfills his life's ambition, start a detective agency, and hires Tenspeed as his partner. Now the two men take on whatever cases come their way.",accountant,Male
