hard_text,profession,gender
"He has been a successful Dentist for the last 14 years. He studied and completed MDS . He is currently associated with Dental Clinic in Purna Das Road, Kolkata. Don’t wait in a queue, book an instant appointment online with Dr. Pratik Kumar Lahiri on Lybrate.com.",dentist,Male
"Dr. Gayatri Parekh practices at The Dental Spa in Vileparle West, Mumbai and The Dental Spa in Ghatkopar West, Mumbai. She completed BDS from Tatyasaheb Kore Dental College Research Centre in 2009.",dentist,Female
"Dehelean, DMD. The firm specializes in an extensive array of family and cosmetic dental care. Dr. Dehelean and his practice are committed to providing quality gentle dental care to his patients. The dental practice provides all the dental services that modern dentistry has to offer including cosmetic dentistry, dentures, dental implants, porcelain veneers, sedation dentistry, teeth whitening, root canal therapy, Invisalign, crowns, sealants, orthodontics and several other services as well.",dentist,Male
She took her study in a dental school where she thought her a lot of the technical side of dentistry and nothing about the business side. She received no formal training in the mechanics of running a business / understanding customer needs. That had not been a problem to Dr. Beckett since as she started to do her profession and did not have the hard time to earn. So she did not mind it rather she just focus on resigning everything just to make her services differ from others even of there were a lot of instances.,dentist,Female
"His CareDash rating is 3.5 out of 5 by one patient. He received $25 in payments from medical companies between 2014 and 2016, which is less than 85% of Dentists and less than 89% of providers nationally. He is licensed to practice by the state board in Oregon (OR5478).",dentist,Male
"At the time of her termination she was in her seventies, but there does not appear to be any evidence of poor or diminishing performance. The defendants claim that they terminated Dr. Bikofsky because they were losing tens of millions of dollars per year and management was directed to make cuts. Dr. Bikofsky was one of many medical personnel terminated. The defendants filed a motion for summary judgment which was denied by the Trial Court in its entirety. This short opinion really contains every essential argument that should be made by plaintiffs at summary judgment.",dentist,Female
"Dr. Cajee loves to share his passion through teaching and mentoring his dental colleagues and connecting with innovators of 3D technologies. He is a Fellow of the International Congress of Oral Implantologists and the American Academy of Implant Prosthodontics. He practices in San Joaquin County, California with a focus on surgical & reconstructive procedures. He is a member of the faculty and an Alumni Board Member of University of the Pacific. “The greatest oak,” Dr. Cajee’s motto reads, “was once a little nut that held its ground.”",dentist,Male
"Patients gave Dr. Healy an average rating of 5.0 stars out of 5. He is in-network for Blue Cross/Blue Shield, Blue Choice, and Blue Cross Blue Shield Bronze, in addition to other insurance carriers.",dentist,Male
"Dr. Wasiq Rafeeq practices at Acura Dental Care Centre in Viveknagar, Bangalore. He completed BDS from Bapuji college of dental sciences,Davangere in 2004. He is a member of Karnataka State Dental Council. Some of the services provided by the doctor are: Conservative Dentistry,Flexible Partial/Complete Denture,Cast Partial Denture,Dental Implant Fixing and Periodontal Flap Surgery etc.",dentist,Male
"Dr. Niket Mamaniya practices at Dr.Niket Mamaniya Dental Clinic in Malad, Mumbai. He completed BDS from Y.M.T dental college and hospital,kharghar, navi mumbai in 2010. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Conscious Sedation,BPS Dentures Fixing,Crowns and Bridges Fixing and Impaction / Impacted Tooth Extraction etc.",dentist,Male
