hard_text,profession,gender
She specializes in treating patients with kidney failure related to nutrition. She says up to ninety percent of her current patients are diabetic or pre-diabetic.,dietitian,Female
"He graduated with honors in 2012. Having more than 4 years of diverse experiences, especially in REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL, Donald Milton Stokes affiliates with no hospital, and cooperates with other doctors and specialists in medical group One Source Nutrition LLC. Call Donald Milton Stokes on phone number (800) 658-0512 for more information and advises or to book an appointment.",dietitian,Male
"Green Balance TT's mission is to improve the quality of life and reduce the prevalence of diet and lifestyle disease which has been growing worldwide. Ms. Lewis is passionate about sharing her knowledge with others and supports sustainability efforts such as recycling, low pesticide farming and supporting local, organic businesses.",dietitian,Female
"Her practice is devoted exclusively to all forms of the Ketogenic diet, in both inpatient and clinical settings. Stacey received her BS degree in Dietetics and Nutrition from Florida International University in Miami, Florida, and has concentrated her 17 years of dietitian experience in pediatrics. She routinely provides presentations to physicians and residents, and has spoken nationally on the classic Ketogenic diet. Stacey has a passion for the diet and educating others to increase awareness of dietary therapies as a viable treatment option for epilepsy and other neurological disorders. She lives in Tampa with her husband and son.",dietitian,Female
"Also, she is Certified Sports Nutritionist from International Sports Science Association, USA. Silky also got trained in the field of Nutrition from Post Graduate Institute of Medical Sciences and Research, Chandigarh and Fortis Escort Hospital. She is holding Certified Diabetes Educator certification from International Hope Health Academy (IDEEL) in order to have the vast knowledge of Diabetes/Insulin response in athletes. Also, she is an active member of Indian Dietetics Association (IDA).",dietitian,Female
"She has a BScAHN and a MScAHN(c), and is the owner of Sustain Nutrition. Felicia helps clients from around the globe fight misinformation online and master their health goals in a way that allows them to enjoy life.",dietitian,Female
"She offers corporate consulting out of her Seattle office. Founder of Nutrition Northwest, In-House Nutritionist to the International Ballet Theatre, sports nutritionist to AV Performance Tennis and Columbia Athletic Club (Silver Lake) and is the Nutrition Advisor to the Nationally Syndicated Talk Show, The Dr. Pat Show.",dietitian,Female
"She graduated with honors in 2001. Having more than 15 years of diverse experiences, especially in REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL, Debbie S Lucus affiliates with no hospital, and cooperates with other doctors and specialists in medical group Sutter Valley Medical Foundation. Call Debbie S Lucus on phone number (916) 734-6473 for more information and advises or to book an appointment.",dietitian,Female
"She is also the resident nutritionist for Child's Talk magazine. Mandy Pearson is a skilled NLP trainer, consultant, and coach. She is director of Sea Star Training and Development, a thriving training, coaching, and consultancy company based in Southport.",dietitian,Female
"She is passionate about providing nutrition counseling to assist people with various concerns such as weight loss and maintenance, food allergies and restrictions, and sports nutrition. Faris-Dana@aramark.com",dietitian,Female
