hard_text,profession,gender
"He graduated with honors in 1981. Having more than 36 years of diverse experiences, especially in CLINICAL PSYCHOLOGIST, Manuel D Tobias affiliates with no hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Manuel D Tobias on phone number (858) 362-8779 for more information and advises or to book an appointment.",psychologist,Male
"In addition, he treats complex and longer-term problems such as difficulty with managing emotions and emotional sensitivity, complex post-traumatic stress, identity issues, impulsivity, and relationship instability. Chris is also experienced in treating symptoms of dissociation, eating disorders, drug and alcohol dependence, and GLBTI issues.",psychologist,Male
"She has a special interest in the relationship between trauma and eating disorders, as well as their role in the family system. Lauren's practice includes clients struggling with depression, anxiety, grief and loss, post-traumatic stress disorder, personality disorders, and addiction. She also works with clients adjusting to college and other major life transitions, those seeking meaning and purpose, or grappling with spirituality and personal and/or sexual identity. Lauren provides parenting support, and especially enjoys family and couples therapy. She also has a special interest in working with women as they adjust to new motherhood, including connecting new moms to relevant resources and support systems.",psychologist,Female
She provides both in-person and virtual counseling and has created an audio self study program to help couples work through the five common issues that plague relationships.,psychologist,Female
"He is a fellow of the American Association of Integrative Medicine and the American Board of Forensic Examiners. Along with his clinical psychology practice, Dr. Baksh has rendered expert opinion testimony in both criminal and civil matters, including child custody cases.",psychologist,Male
"She works with involuntarily childless individuals; highachieving professionals/executives; people who have experienced early trauma, loss, and attachment difficulties; and adopted individuals/families. She also is",psychologist,Female
"She graduated with honors in 1994. Having more than 23 years of diverse experiences, especially in CLINICAL PSYCHOLOGIST, Janet R Bacheler affiliates with no hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Janet R Bacheler on phone number (530) 798-7979 for more information and advises or to book an appointment.",psychologist,Female
Aspects of her research include: investigating the emotional and psychological well-being of children with chronic illnesses and learning and physical disabilities; discovering how communities can provide family-friendly and well organized services to children and families; and learning how both physical and mental health care can be provided in a way that respects the cultural and language needs of families. Dr. Bronheim collaborates with members of the Fisher Center on research regarding family communication of cancer susceptibility genetic testing results. Georgetown University,psychologist,Female
"She is very used to facilitate groups where no one has tried yoga or acroyoga before. She values inclusion, playfulness and connection in therapy as well on the mat.",psychologist,Female
"Dr. Shienvold conducts private parenting assessments as part of his practice. His talk focused on the “Cadillac vs. Chevy” dilemma faced by many professionals who work in family law. Dr. Shienvold informed the audience that a “Cadillac” parenting assessment can cost between $10,000 – $25,000. With that kind of price tag, families look for less expensive, streamlined, “Chevy” models of parenting assessments. However, Dr. Shienvold noted that, unfortunately, the “Chevy” parenting assessments may not contain sufficient information to get the client the result they want.",psychologist,Male
