text,labels
"he has been with the firm for seventeen years. tapiwa is also the partner in charge of the deloitte bulawayo office. tapiwa is a business rescue practitioner, and helps businesses to return to profitability through management improvement and business re-engineering as may be deemed appropriate. he is the former chairperson of the matabeleland society of chartered accountants committee and also a member of the council of the institute of chartered accountants in zimbabwe (icaz).",1
"a conviction that organisations could do considerably, and sustainably, better if people were better managed led him to write his first book, “lean organisations need fat people” and to found his company, zealise limited and develop his 'every individual matters' model as a catalyst to engender and embed shared vision and common purpose in organisations, making the workplace more humane and more effective. he recently published “the democracy delusion” to challenge wider socio-economic and political management issues, and proffer new solutions, building on these concepts.",1
"l. john walpole has been issued a tennessee license number 3100. all cpas, including l. john walpole, have at the minimum an undergraduate degree in accounting, passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed. cpas can work in private industry, education or government but most people think of cpas during tax season as the experts in tax preparation. their overall training in business and knowledge in principles of general law and taxation provide cpas with the skills to help individuals with both personal and business financial decisions.",0
"most recently, he was deputy group cfo at interdealer broker icap. stephen has also held posts as cfo at ebs, the spot fx electronic trading platform, and deputy head of finance at the london stock exchange.",1
"he was employed with the very well-known company price waterhouse. since 2003 he has also been recognized as a patient advocate leader with the bone and joint decade (a global alliance of musculoskeletal health). in his early 20’s peter was affected by severe joint problems in his left hip. he tried countless therapies, but found very little help.",1
"he has over 25 years of experience in tax preparation for individuals, small business and estates, and is a graduate of the university of michigan-dearborn martin lavelle, secretary",1
"david madore, a private citizen, has asked her to take a look at columbia river crossing’s books. kpam host victoria taft asks her what she’s uncovered. couch reports having difficulty obtaining what she calls some of the basic accounting records ...",0
"she loves being an accountant. the variety and problem solving aspects of the job keep each day fresh. she spends any spare time with her husband, children and grandchildren.",0
"they have two grown sons and three beautiful granddaughters. in her free time, laurie likes to spend time with her family, travel, write, work in her hosta garden and solve diagram-less crossword puzzles.",0
"he has over five years of experience in public accounting, with an emphasis in higher education accounting regulations. brent holds a bachelor of business administration in accounting from the university of texas at san antonio. in his free time, he enjoys reading, exploring southern california, and being an audience member at television tapings.",1
"his firm provides tax preparation and planning, contracted cfo services, representation before state authorities and the irs, bookkeeping, retirement and estate tax planning, back office management services and computer systems consultations.",1
kevin is the principal of his own accounting firm and supports corporate services as well as community services. kevin brings great support to real advantage institute and to the general community.,1
"he has worked previously with fifth third bank and bank of america leading best-in-class sales, service, production and operations teams. rick has a ba in public relations and journalism from lipscomb university and a master of business administration degree from middle tennessee state university. in addition to his tax and advisory practice, rick works with businesses who wish to streamline their financial reporting using cloud-based reporting systems to provide timely, accurate information. he also represents clients who are under review with the internal revenue service and state tax authorities.",1
"his 40 plus year career includes being an audit partner in arthur andersen, a member of andersen’s professional standards group (“national office”) in chicago, the director of financial reporting for a fortune 50 company and most recently, the editorial director of cch’s accounting research manager. currently, ron does independent writing and analysis together with accounting consultation on a variety of topics.",1
mr. bello is the president of the ofw congress in riyadh. he initiated the raising of a big amount of money from the ofws for the guinsaugon landslide victims in southern leyte through the secretary of labor marianito roque to owwa.,1
"mr. chopra during his career span of over 30 years has held senior management roles in several industries - trading, projects, manufacturing and other diversified businesses.",1
"after he received his master of science in accountancy, he began his career working for a big four international accounting firm in their tax division. later mr. mclean opened his own professional private practice where he has worked for private companies, and has 30 years’ experience in public accounting specializing in international tax planning and accounting. james is also a member of the american institute of certified public accountants (aicpa), the texas society of cpa’s (tscpa), the tscap committee for relations with irs, aicpa tax section. he is certified as a charter global management accountant and accredited in business valuation by the aicpa.",1
"he has also appeared and cleared certified public accountant course from usa. over the years while working with various organisations both in india and abroad, he has gained rich experience in dealing with various facets of finance and accounts. out of 20 years of experience he has spent 10 years in the aviation industry while working with club one air since 2005.",1
regis joined starafricacorporation in 2006 as group finance manager and was subsequently promoted to the post of group finance director. he was appointed to the board of directors in january 2011.,1
"he has worked as a financial services professional to both public, and private sector projects in sierra leone, and ghana. he is a managing partner at bdo (previously pkf sierra leone) an international financial services and business consulting firm with member offices across the globe. he leads engagement and reporting for bdo audit clients including; care, usaid, and multiple eu and world bank funded projects.",1
"he offers exhaustive knowledge of reporting practices and requirements for public companies based in canada and the united states. wilmot has been involved in numerous business valuations and acquisitions, high tech start-ups and international mining operations.",1
