hard_text,profession,gender
"She is on the clinical faculty for the department of surgery at the University of South Florida College of Medicine, and has served as president of the board of directors of the Judeo Christian Health Clinic Inc. since 1993. The Judeo Christian Health Clinic provides free health care to thousands of medically indigent residents of the Tampa Bay area who have no other resource for their health care needs. Most patients work at low-paying jobs and cannot afford to pay a private doctor or to purchase health insurance.",surgeon,Female
"He has an experience of 10 years in this field during which time he has treated many patients. Columbia 10632 Little patuxent Parkway, suite 219. Columbia, md 21044, rockville 3203 Tower oaks Blvd, suite 200. Rockville, md 20852, annapolis 129 Lubrano Drive, suite 101, annapolis, md 21401. Mclean 6845 Elm Street, suite 205, mcLean, va 22101.",surgeon,Male
"He practices at Grace Dental Clinic. He has been in private practice for the last 8 years. He is running two clinics by the name of Grace Dental Clinic in New and old Gurgaon, Haryana, and also a visiting dentist at a number of clinics in Gurgaon and Olive Dental Clinic, Delhi. Registered with Haryana State Dental Council, Dr. Himanshu got his Degree from MDU, Rohtak. He is also a certified TII specialist.",surgeon,Male
"Dr. Mejia has vast experience in the harvesting of adipose tissue and bone marrow for stem cell treatments. Dr. Eduardo Mejia obtained his Doctor of Medicine at the Universidad Iberoamericana (UNIBE) in Santo Domingo, Dominican Republic. He did his specialization in General Surgery at the Santa Casa de Misericordia Hospital in Rio de Janeiro, Brazil. Dr. Mejia then continued for 3 years, training under the renowned Professor Doctor Ivo Pitanguy, at the Holy House of Mercy, obtaining his specialty in Plastic Surgery. Member of the Dominican Society of Plastic and Reconstructive Surgery (SODOCIPRE) of the International Society of Aesthetic Plastic Surgery (ISAPS), FILACP, CMD, International Confederation for Plastic, Reconstructive & Aesthetic Surgery (IPRAS) Alumni Association Prof . Ivo Pitanguy (AEXPI), and American Academy of Anti-Aging Medicine (A4M).",surgeon,Male
He specialises in laparoscopic and general gastrointestinal surgery. He completed his higher surgical training in UK but has gained vast experience by working in USA with Professor Dr DeMeester and National Cancer Centre in Japan and more recently a year sabbatical in New Zealand.,surgeon,Male
"His clinical interests include breast pain, pancreatectomy (pancreas removal), and achalasia. Patient ratings for Dr. Obrien average 4.5 stars out of 5. Dr. Obrien is an in-network provider for Coventry, Coventry Bronze, Coventry Silver, and more. Before completing his residency at Mount Sinai Medical Center, Cleveland, Dr. Obrien attended medical school at Medical College of Wisconsin. He is affiliated with Euclid Hospital, Hillcrest Hospital, and Marymount Hospital.",surgeon,Male
"Dr. Habboushe graduated from University of Baghdad in 1961 and has been in practice for 56 years. He completed a residency at District of Columbia General Hospital. He currently practices at Fawzi B Habboushe MD and is affiliated with Nazareth Hospital. Dr. Habboushe accepts multiple insurance plans including Aetna, Medicare and Humana.",surgeon,Male
"Dr. Fernandez graduated from University of Florida College of Medicine in 1978 and has been in practice for 38 years. He completed a residency at Shands Jacksonville Medical Center. Dr. Fernandez also specializes in Surgery. Dr. Fernandez accepts multiple insurance plans including Medicare and UHC of the River Valley. Dr. Fernandez is board certified in Plastic Surgery. Dr. Fernandez also practices at Enrique J Fernandez MD in Bradenton, FL.",surgeon,Male
"He implanted Georgia’s first dual pump ventricular assist device (VAD) in 1999 to serve as a bridge to heart transplantation, a procedure that initiated Emory’s ongoing national position at the forefront of the use of mechanical circulatory assist devices. In 2006, he implanted the state’s first VAD as a form of destination therapy for individuals who are ineligible for or are unwilling to undergo a heart transplant, and in 2007 he implanted an even smaller VAD for the same purpose that featured an automatic speed control mode designed to regulate pumping activity based on different levels of patient or cardiac activity.",surgeon,Male
"He provides care for conditions such as tears of the rotator cuff, labrum, meniscus, and anterior cruciate ligament and posterior cruciate ligament. In most cases, Dr. Newman is able to offer arthroscopy or other minimally invasive procedures, which decrease patient discomfort and speed recovery times. He became a doctor because the profession combined his interest in science and his desire to work with people and help them. Dr. Newman chose orthopedics as a specialty because he enjoys the challenge of working with damaged joints and finding a way to make them [...]",surgeon,Male
